PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,OrganizationType,NumbofProjects,TotalNumbPartners,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
1,2019,2020-12-26,3723,1,1,1,1.0,1332000.0,42875.0,44625.0,43575.0,43925.0,30467.0,32658.0,43880.0,38598.0,2144.0,2231.0,2196.0,2179.0,222.0,230.0,332.0,345.0
1,2019,2020-12-27,3723,1,1,2,2.0,1151651.87,39019.0,37390.0,41952.0,45122.0,33741.0,34583.0,52702.0,48212.0,89.0,124.0,189.0,165.0,550.0,614.0,805.0,756.0
1,2019,2020-12-28,3623,2,1,3,3.0,2339736.31,12076.0,13541.0,17796.0,16715.0,10951.0,10410.0,18351.0,18508.0,491.0,526.0,665.0,628.0,578.0,741.0,957.0,872.0
1,2019,2020-12-28,3723,1,1,3,3.0,2522348.98,69252.0,65597.0,58532.0,54369.0,66257.0,66344.0,81192.0,77759.0,657.0,283.0,326.0,221.0,2891.0,3340.0,2856.0,2969.0
1,2019,2020-12-28,3723,1,1,1,1.0,363842.8,762.0,767.0,1067.0,1086.0,762.0,767.0,1067.0,1086.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0
1,2019,2020-12-28,3723,1,1,1,1.0,999711.27,17400.0,11600.0,5800.0,3900.0,17400.0,11600.0,5800.0,3900.0,900.0,200.0,100.0,100.0,900.0,200.0,100.0,100.0
1,2019,2020-12-30,3623,2,2,1,1.0,1270519.6,482.0,296.0,8384.0,6639.0,9681.0,2377.0,16325.0,11680.0,17.0,10.0,87.0,62.0,,,92.0,85.0
1,2019,2020-12-30,3823,1,2,1,1.0,1649994.56,,10720.0,15867.0,15245.0,,10195.0,14251.0,16070.0,,322.0,476.0,457.0,,,,
1,2019,2020-12-31,3623,2,3,2,2.0,2309744.58,5858.0,6284.0,13159.0,13424.0,5345.0,5978.0,10603.0,10846.0,60.0,30.0,10.0,15.0,79.0,39.0,13.0,20.0
1,2019,2020-12-31,3623,2,3,1,1.0,2000069.93,,,13755.0,16811.0,,,17076.0,20869.0,,,,,,,,
1,2019,2020-12-31,3723,1,1,1,1.0,183049.47,10152.0,3348.0,,,13484.0,16.0,,,45.0,12.0,,,8.0,,,
1,2019,2021-01-03,3623,2,1,1,1.0,553480.26,,,3827.0,4678.0,,,3827.0,4678.0,,,,,,,,
1,2019,2021-01-04,3723,1,1,1,1.0,1437800.25,2709.0,3291.0,4903.0,4540.0,4296.0,5735.0,7449.0,6502.0,282.0,295.0,565.0,531.0,,,,
1,2019,2021-01-06,3723,1,1,1,1.0,230014.53,1899.0,2009.0,1500.0,1592.0,1672.0,1780.0,1324.0,1406.0,,,,,134.0,95.0,52.0,57.0
