Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2007,07-RR-YEM-12057,3,13,2432110.0,3,2007-06-18,2007-06-18,105
2007,07-RR-YEM-12060,1,19,1002466.0,3,2007-08-30,2007-10-30,105
2007,07-RR-ZWE-12540,6,27,8000000.0,3,2007-09-25,2007-09-25,107
2007,07-UF-AGO-270,3,6,4499828.0,4,2007-03-08,2007-03-19,3
2007,07-UF-BDI-712,6,27,8500000.0,4,2007-02-23,2007-02-23,14
2007,07-UF-BFA-594,3,8,877908.1799999999,4,2007-08-31,2007-09-14,13
2007,07-UF-BGD-294,1,16,1000000.0,4,2007-03-05,2007-03-05,7
2007,07-UF-CAF-1115,1,16,2901367.0,4,2007-03-02,2007-03-26,18
2007,07-UF-CAF-1115,1,19,1577336.0,4,2007-03-02,2007-03-26,18
2007,07-UF-CAF-1185,1,16,1439518.58,4,2007-09-10,2007-10-03,18
2007,07-UF-CAF-1185,1,19,860500.12,4,2007-09-10,2007-10-03,18
2007,07-UF-CIV-4126,1,19,4499303.0,4,2007-02-13,2007-03-20,24
2007,07-UF-CIV-4142,6,27,2318107.08,4,2007-09-21,2007-10-25,24
2007,07-UF-COD-3723,1,16,29442448.0,4,2007-02-23,2007-05-15,27
2007,07-UF-COD-3723,1,19,7144680.0,4,2007-02-23,2007-05-15,27
2007,07-UF-COD-3754,1,19,10919449.92,4,2007-09-11,2007-11-09,27
2007,07-UF-COG-3275,1,19,1099970.67,4,2007-09-05,2007-10-03,79
2007,07-UF-ERI-4921,1,16,1006500.0,4,2007-03-08,2007-03-21,35
2007,07-UF-ERI-4921,2,12,350000.0,4,2007-03-08,2007-03-21,35
2007,07-UF-ERI-4921,6,27,643500.0,4,2007-03-08,2007-03-21,35
2007,07-UF-ERI-4937,6,27,1000908.57,4,2007-09-19,2007-09-28,35
2007,07-UF-ETH-5114,1,16,1950000.0,4,2007-03-20,2007-06-08,36
2007,07-UF-ETH-5114,2,9,3055353.0,4,2007-03-20,2007-06-08,36
2007,07-UF-ETH-5114,2,12,994000.0,4,2007-03-20,2007-06-08,36
2007,07-UF-ETH-5132,2,12,1200000.72,4,2007-09-19,2007-10-25,36
2007,07-UF-ETH-5132,6,27,1798762.25,4,2007-09-19,2007-10-25,36
2007,07-UF-HTI-5795,2,12,222500.0,4,2007-03-21,2007-05-16,45
2007,07-UF-HTI-5795,6,27,1778045.0,4,2007-03-21,2007-05-16,45
2007,07-UF-HTI-5803,6,27,1276060.0,4,2007-09-28,2007-10-01,45
