ApprovedDate,PooledFundName,FundType,Budget
,105,2,265574.0
,73,2,249541.12
,108,2,980192.49
,108,2,299268.3
,36,2,429705.41
,1,2,701422.4
,1,2,860880.27
,1,2,832358.41
,1,2,683530.25
,1,2,564813.47
,1,2,438415.72
,1,2,1167084.31
,1,2,374122.29
,36,2,499969.46
,36,2,499932.42
,36,2,1097498.24
,36,2,1000309.46
,36,2,600005.71
,91,2,1209337.11
,108,2,248953.86
,108,2,552841.52
,108,2,997755.74
,108,2,798553.84
,108,2,529013.0
,108,2,218986.2
,108,2,252086.65
,108,2,681355.46
,105,2,1053357.77
,105,2,1952878.4
,105,2,1897287.09
,105,2,3999999.99
,73,2,379921.23
,91,2,504084.49
,49,2,748936.59
,49,2,399999.65
,49,2,975448.96
,49,2,916456.54
,49,2,614812.58
,49,2,998632.61
,74,2,250000.0
,87,2,453372.76
,1,2,1619973.93
,1,2,575080.93
,1,2,1477694.04
,1,2,693938.6
,1,2,819341.8
,1,2,1035554.56
,1,2,689268.53
,1,2,722150.0
,1,2,399916.23
,67,2,219447.47
,67,2,186578.04
,67,2,249548.43
,49,2,350000.1
,49,2,2281581.01
,36,2,375263.8
,36,2,351433.48
,36,2,287557.16
,36,2,475569.29
,105,2,1500001.11
,105,2,3500000.82
,91,2,559999.48
,91,2,654937.3
,1,2,126000.5
,1,2,250478.2
,1,2,699932.14
,49,2,600006.66
,108,2,137226.67
,108,2,502049.35
,108,2,172687.3
,49,2,2900000.0
,49,2,175392.8
,49,2,548000.93
,49,2,1297195.35
,49,2,445856.76
,49,2,514862.6
,49,2,399949.53
,49,2,1000000.18
,49,2,480000.0
,49,2,201985.29
,49,2,199102.82
,49,2,4296135.6
,67,2,141696.08
,67,2,108261.57
,36,2,214000.0
,1,2,367396.34
,36,2,305184.66
,36,2,823372.17
,36,2,402000.75
,36,2,219433.8
,36,2,154624.12
,91,2,399490.92
,105,2,2800000.0
,27,2,1045244.18
,27,2,234204.9
,27,2,335087.27
,27,2,198197.52
,27,2,1026388.41
,27,2,250000.6
,74,2,500000.44
,73,2,1184151.78
,91,2,378595.72
,91,2,249791.5
,27,2,493807.82
,27,2,1425879.2
,27,2,465000.0
,18,2,647387.73
02-2011,87,2,299670.0
02-2013,80,2,329592.0
02-2013,80,2,297232.0
02-2013,80,2,450495.0
02-2013,80,2,396040.0
02-2013,36,2,2552052.56
02-2013,105,2,499683.58
02-2013,80,2,200000.0
02-2013,80,2,346376.0
02-2013,80,2,215841.0
02-2013,80,2,323672.0
02-2013,80,2,59403.0
