contributionYear,donorId,fundId,paidAmount,pledgedAmount
2017,124,91,5336179,0
2017,124,105,8239779,0
2017,124,108,5937140,0
2017,129,1,2109293,0
2017,129,27,2782622,0
2017,129,36,1197036,0
2017,129,72,2967425,0
2017,129,73,511064,0
2017,129,80,1254657,0
2017,129,87,4497183,0
2017,129,88,9984876,0
2017,129,91,5806198,0
2017,129,105,5096821,0
2017,129,108,4728737,0
2017,158,22,588235,0
2017,158,72,597371,0
2017,158,73,823529,0
2017,158,91,1176470,0
2017,158,105,716845,0
2017,159,72,1250,0
2017,159,87,1250,0
2017,159,88,1250,0
2017,159,105,1250,0
2017,162,1,8363695,0
2017,162,18,2891590,0
2017,162,22,560594,0
2017,162,27,17014351,0
2017,162,36,5260129,0
2017,162,49,2018141,0
2017,162,51,1717580,0
2017,162,55,1717580,0
2017,162,67,1233308,0
2017,162,72,11911830,0
2017,162,73,1761113,0
2017,162,74,4484759,0
2017,162,80,7705915,0
2017,162,87,8400332,0
2017,162,88,8284457,0
2017,162,91,4190623,0
2017,162,105,8598541,0
2017,162,108,4190623,0
2017,163,1,199965,0
2017,163,18,1558616,0
2017,163,22,205761,0
2017,163,36,2099092,0
2017,163,67,205761,0
2017,163,72,1712383,0
2017,163,80,1166182,0
2017,163,87,2773231,0
2017,163,88,1734705,0
2017,163,91,993048,0
2017,163,105,3476152,0
2017,163,108,993048,0
2017,177,72,24982,0
2017,177,105,24982,0
2017,183,1,16076280,0
2017,183,18,7134625,0
2017,183,27,30731350,0
2017,183,36,21561440,0
2017,183,49,21222167,0
2017,183,51,2587322,0
2017,183,67,3221649,0
2017,183,74,2490660,0
2017,183,80,20858450,0
2017,183,87,4026000,0
2017,183,88,22383300,0
2017,183,91,1293661,0
2017,183,105,51087368,0
2017,183,108,12911603,0
2017,184,36,29500000,0
2017,184,105,5000000,0
2017,208,22,470,0
2017,208,36,950,0
2017,208,49,258,0
2017,208,55,78,0
2017,208,67,2213,0
2017,208,72,7751,0
2017,208,73,4287,0
2017,208,74,887,0
2017,208,91,98421,0
2017,208,105,86532,0
2018,9,105,5636,0
2018,13,1,764291,0
2018,13,67,2287436,0
2018,13,73,7466117,0
2018,13,87,3026520,0
2018,13,88,2580188,0
2018,22,18,1848900,0
2018,22,27,5450550,0
2018,22,49,3703703,0
2018,22,51,1851851,0
2018,22,55,1851851,0
2018,22,72,2469135,0
2018,22,73,2962962,0
2018,22,88,4930400,0
2018,22,91,8950617,0
2018,22,105,4938271,0
2018,22,108,8950617,0
2018,35,18,771724,0
2018,35,27,1592737,0
2018,35,49,381401,0
2018,35,67,773961,0
2018,35,72,77454,0
2018,35,74,388289,0
2018,35,87,1566968,0
2018,35,88,622261,0
2018,35,91,3090379,0
2018,35,105,4839774,0
2018,35,108,772594,0
2018,44,105,50000,0
2018,49,49,11376,0
2018,49,105,35377,0
2018,52,1,3032002,0
2018,52,18,3230495,0
2018,52,36,3053860,0
2018,52,49,2306940,0
2018,52,80,4038119,0
2018,52,87,4120041,0
2018,52,88,3043769,0
2018,52,91,4040857,0
2018,52,105,9663250,0
2018,52,108,4040857,0
2018,64,55,364050,0
2018,64,105,455062,0
2018,64,108,5867261,0
2018,67,1,568106,0
2018,67,18,6223800,0
2018,67,27,19536077,0
