allocationYear,fundId,clusterId,ClusterCBPFCERFId,partnerTypeId,partnerCode,projectList,budget
2007,109,12,20,3,2,432##696,1099981.58
2007,109,6,17,3,5,656,258940.0
2007,109,10,10,3,4,657,400180.0
2007,109,12,20,3,9,658,319930.0
2007,109,3,3,3,4,716,610487.0
2007,109,6,17,3,5,712,250000.0
2007,109,6,18,3,2,450##451##720,2500412.08
2007,109,7,7,3,3,719,244192.0
2007,109,7,7,3,4,453##717,651095.0
2007,109,7,7,3,6,452,969163.0
2007,109,10,10,3,7,455##713,540300.0
2007,109,11,11,3,4,454,548950.0
2007,109,12,20,3,1,456,200000.0
2007,109,13,13,3,1,721##722,302811.0
2007,109,6,17,3,5,461,700000.0
2007,109,6,18,3,2,457,2298577.04
2007,109,7,7,3,4,458,1700000.0
2007,109,7,7,3,6,460,300000.0
2007,109,3,3,3,4,475,1007088.0
2007,109,4,19,3,11,463,2343877.0
2007,109,4,19,3,4,476,2812126.0
2007,109,6,17,3,5,465,3711830.0
2007,109,6,18,3,2,468,3400460.0
2007,109,7,7,3,3,466##467##564##676,2647985.0
2007,109,7,7,3,4,470##471##472,5716195.0
2007,109,7,7,3,6,582##670,1348935.0899999999
2007,109,9,9,3,4,671,1500000.83
2007,109,10,10,3,11,464,3251654.0
2007,109,10,10,3,4,473##474##672,2836035.0
2007,109,10,10,3,6,477,741011.0
2007,109,11,11,3,4,568##674,5545275.0
2007,109,12,20,3,2,469,4419100.0
2007,109,13,13,3,11,462##677##678,6225006.0
2007,109,3,3,3,4,485,300000.0
2007,109,6,17,3,1,731,239985.0
2007,109,6,18,3,11,486##730,399985.63
2007,109,7,7,3,3,487##729,524999.6
2007,109,7,7,3,4,484,350000.0
2007,109,9,9,3,4,732,175938.0
2007,109,10,10,3,1,488,240000.0
2007,109,11,11,3,4,489##490##733,770000.34
2007,109,6,18,3,2,590##750,1875003.75
2007,109,7,7,3,11,483,218688.0
2007,109,7,7,3,3,479##755,1594000.0
2007,109,7,7,3,4,569##752,1593902.3599999999
2007,109,7,7,3,6,751,120000.5
2007,109,11,11,3,11,482,500099.0
2007,109,11,11,3,4,478##753,2550000.36
2007,109,12,20,3,1,480,111451.0
2007,109,12,20,3,9,792,178758.0
2007,109,13,13,3,11,481,256213.0
2007,109,6,18,3,2,573##740,1000000.0
2007,109,7,7,3,3,738,500000.0
2007,109,9,9,3,4,491,662330.0
2007,109,10,10,3,4,492,393760.0
2007,109,10,10,3,7,570,221955.0
2007,109,11,11,3,3,572,222500.0
2007,109,11,11,3,4,741,276060.0
2007,109,4,19,3,11,723,1402235.0
2007,109,6,18,3,2,724,500011.0
2007,109,7,7,3,3,728,250000.0
2007,109,7,7,3,6,727,77040.0
2007,109,9,9,3,4,726,473162.56
2007,109,11,11,3,4,725,300052.61
2007,109,7,7,3,3,663##668##785,677822.16
2007,109,7,7,3,6,669,248775.0
2007,109,11,11,3,4,665##666##667,535000.0
2007,109,6,17,3,5,708##709,250000.0
2007,109,6,18,3,2,707,340441.0
2007,109,9,9,3,4,710,264290.0
2007,109,6,18,3,2,734,497084.55
2007,109,7,7,3,1,493,354977.0
2007,109,7,7,3,3,737,550000.33
2007,109,13,13,3,11,735,401250.0
2007,109,6,18,3,2,546,383184.12
2007,109,10,10,3,11,394,616815.0
2007,109,6,18,3,2,660,1000022.0
2007,109,9,9,3,4,662,1000000.6
2007,109,6,18,3,13,655,1000000.0
2007,109,7,7,3,25,679,150000.0
2007,109,7,7,3,3,653,2000000.0
2007,109,11,11,3,4,654,509510.0
2007,109,6,17,3,5,700,219992.0
2007,109,7,7,3,3,784,96300.0
2007,109,7,7,3,6,702,270042.0
2007,109,10,10,3,1,767,49755.0
2007,109,11,11,3,1,765##766,95108.67
2007,109,13,13,3,11,701,368773.0
2007,109,3,3,3,4,496##497,500000.0
2007,109,6,18,3,2,501,300000.0
2007,109,7,7,3,3,565,840000.0
2007,109,7,7,3,4,494##498,840000.0
2007,109,9,9,3,4,499##500##567,520000.0
2007,109,11,11,3,3,566,380000.0
2007,109,11,11,3,4,495,2620000.0
2007,109,12,20,3,1,395,1000000.0
2007,109,4,19,3,7,397,1000000.0
2007,109,6,17,3,5,682,200000.0
2007,109,7,7,3,3,686,500000.3
2007,109,7,7,3,4,868,600000.0
2007,109,9,9,3,4,683,199084.11
2007,109,10,10,3,6,681,199992.0
2007,109,10,10,3,7,680,300000.0
2007,109,11,11,3,4,396,1000000.0
2008,109,6,18,3,2,957,6945154.0
2008,109,7,7,3,3,958,248040.0
2008,109,7,7,3,4,956,808866.0
2008,109,12,20,3,2,944,1444500.0
2008,109,4,19,3,7,1144,273653.0
2008,109,7,7,3,3,1147,426245.0
2008,109,7,7,3,4,1146,798755.0
2008,109,6,18,3,2,1159,1000000.0
2008,109,3,3,3,4,947,76772.1
2008,109,4,19,3,7,954,263994.0
2008,109,6,17,3,5,946,288600.0
2008,109,6,18,3,2,951,1023320.0
2008,109,7,7,3,3,952,160500.0
2008,109,7,7,3,6,953,48150.0
2008,109,9,9,3,4,948,40660.0
2008,109,10,10,3,4,949,126260.0
2008,109,11,11,3,4,950,243618.0
2008,109,6,17,3,5,1366,499999.23
2008,109,9,9,3,2,1367,750213.0
2008,109,9,9,3,4,1365,750081.0
2008,109,6,17,3,5,1308,1000001.0
2008,109,9,9,3,4,1307,600012.0
2008,109,3,3,3,4,963,169595.0
2008,109,6,18,3,2,966,1097547.0
2008,109,7,7,3,3,989,330630.0
2008,109,7,7,3,4,959##960##962,371718.0
2008,109,7,7,3,6,987,82040.0
2008,109,10,10,3,4,964,85600.0
2008,109,11,11,3,4,961,216140.0
2008,109,12,20,3,1,990,122212.0
2008,109,12,20,3,2,988,556935.0
2008,109,13,13,3,11,965,1687843.0
2008,109,7,7,3,3,1180,336486.0
2008,109,7,7,3,4,1178,304259.0
2008,109,7,7,3,6,1179,356973.0
2008,109,9,9,3,1,1176,304175.0
2008,109,10,10,3,1,1161,137129.0
2008,109,10,10,3,11,1175,457425.0
2008,109,11,11,3,4,1177,490584.0
2008,109,12,20,3,2,955,999983.0
2008,109,3,3,3,4,1173,302275.0
2008,109,4,19,3,11,1273,1154007.0
2008,109,6,18,3,2,1168,1891256.0
2008,109,7,7,3,4,1172,192600.0
2008,109,9,9,3,4,1169,363479.0
2008,109,10,10,3,4,1174,113420.0
2008,109,13,13,3,11,1167,1490510.0
2008,109,4,19,3,1,1206,2058830.0
2008,109,4,19,3,11,1210,2000000.0
2008,109,6,18,3,2,1203,490888.0
2008,109,7,7,3,3,1205,1305445.0
2008,109,7,7,3,6,1202,114490.0
2008,109,11,11,3,4,1207,2076078.0
2008,109,4,19,3,7,914,462422.0
2008,109,6,18,3,2,912,982147.0
2008,109,11,11,3,4,913,393764.0
2008,109,9,9,3,3,1129,139228.0
2008,109,9,9,3,4,1130,368936.0
2008,109,9,9,3,6,1131,25873.0
2008,109,6,17,3,5,1236,495185.0
2008,109,6,18,3,2,1235,1517274.0
2008,109,7,7,3,4,1272,2065100.0
2008,109,9,9,3,2,1475,410588.0
2008,109,9,9,3,4,1473,583926.0
2008,109,3,3,3,14,1451,239774.0
2008,109,4,19,3,1,1379##1469##1470,1341775.0
2008,109,6,17,3,5,1376##1467,897729.0
2008,109,6,18,3,2,1375##1452,1654729.0
2008,109,7,7,3,3,1377##1471,1611677.0
2008,109,7,7,3,6,1378##1468,419255.0
2008,109,11,11,3,4,1381##1466,1202577.0
2008,109,7,7,3,3,1438,857256.0
