FileName,WeekNumber,Year,weekNumber,LinktoDocument,Capturedon
OEW10-0107032021.pdf,10,2021,10,https://apps.who.int/iris/bitstream/handle/10665/340012/OEW10-0107032021.pdf,2/8/2023
OEW09-2228022021.pdf,9,2021,9,https://apps.who.int/iris/bitstream/handle/10665/339897/OEW09-2228022021.pdf,2/8/2023
OEW08-1521022021.pdf,8,2021,8,https://apps.who.int/iris/bitstream/handle/10665/339815/OEW08-1521022021.pdf,2/8/2023
OEW07-0814022021.pdf,7,2021,7,https://apps.who.int/iris/bitstream/handle/10665/339701/OEW07-0814022021.pdf,2/8/2023
OEW06-0107022021.pdf,6,2021,6,https://apps.who.int/iris/bitstream/handle/10665/339464/OEW06-0107022021.pdf,2/8/2023
OEW05-2531012021.pdf,5,2021,5,https://apps.who.int/iris/bitstream/handle/10665/339197/OEW05-2531012021.pdf,2/8/2023
OEW04-1824012021.pdf,4,2021,4,https://apps.who.int/iris/bitstream/handle/10665/338891/OEW04-1824012021.pdf,2/8/2023
OEW03-1117012021.pdf,3,2021,3,https://apps.who.int/iris/bitstream/handle/10665/338727/OEW03-1117012021.pdf,2/8/2023
OEW02-0410012021..pdf,2,2021,2,https://apps.who.int/iris/bitstream/handle/10665/338558/OEW02-0410012021..pdf,2/8/2023
OEW01-271203012021.pdf,1,2021,1,https://apps.who.int/iris/bitstream/handle/10665/338413/OEW01-271203012021.pdf,2/8/2023
OEW51-1420122020.pdf,51,2020,51,https://apps.who.int/iris/bitstream/handle/10665/338051/OEW51-1420122020.pdf,2/8/2023
OEW49-291106122020.pdf,49,2020,49,https://apps.who.int/iris/bitstream/handle/10665/338050/OEW49-291106122020.pdf,2/8/2023
OEW48-2329112020.pdf,48,2020,48,https://apps.who.int/iris/bitstream/handle/10665/337245/OEW48-2329112020.pdf,2/8/2023
OEW47-1622112020.pdf,47,2020,47,https://apps.who.int/iris/bitstream/handle/10665/337244/OEW47-1622112020.pdf,2/8/2023
OEW42-1218102020.pdf,42,2020,42,https://apps.who.int/iris/bitstream/handle/10665/336161/OEW42-1218102020.pdf,2/8/2023
OEW41-0511102020.pdf,41,2020,41,http://apps.who.int/iris/bitstream/handle/10665/336026/OEW41-0511102020.pdf,2/8/2023
OEW40-280904102020.pdf,40,2020,40,https://apps.who.int/iris/bitstream/handle/10665/335869/OEW40-280904102020.pdf,2/8/2023
OEW39-2127092020.pdf,39,2020,39,https://apps.who.int/iris/bitstream/handle/10665/335723/OEW39-2127092020.pdf,2/8/2023
OEW38-1420092020.pdf,38,2020,38,https://apps.who.int/iris/bitstream/handle/10665/334353/OEW38-1420092020.pdf,2/8/2023
OEW37-0713092020.pdf,37,2020,37,https://apps.who.int/iris/bitstream/handle/10665/334303/OEW37-0713092020.pdf,2/8/2023
OEW36-310806092020.pdf,36,2020,36,https://apps.who.int/iris/bitstream/handle/10665/334185/OEW36-310806092020.pdf,2/8/2023
OEW35-2430082020.pdf,35,2020,35,https://apps.who.int/iris/bitstream/handle/10665/334083/OEW35-2430082020.pdf,2/8/2023
OEW34-1723082020.pdf,34,2020,34,https://apps.who.int/iris/bitstream/handle/10665/333969/OEW34-1723082020.pdf,2/8/2023
OEW33-1016082020.pdf,33,2020,33,https://apps.who.int/iris/bitstream/handle/10665/333855/OEW33-1016082020.pdf,2/8/2023
OEW32-0309082020.pdf,32,2020,32,https://apps.who.int/iris/bitstream/handle/10665/333769/OEW32-0309082020.pdf,2/8/2023
OEW31-270703082020.pdf,31,2020,31,https://apps.who.int/iris/bitstream/handle/10665/333629/OEW31-270703082020.pdf,2/8/2023
OEW30-2026072020.pdf,30,2020,30,https://apps.who.int/iris/bitstream/handle/10665/333517/OEW30-2026072020.pdf,2/8/2023
OEW29-1319072020.pdf,29,2020,29,https://apps.who.int/iris/bitstream/handle/10665/333349/OEW29-1319072020.pdf,2/8/2023
OEW28-0612072020.pdf,28,2020,28,https://apps.who.int/iris/bitstream/handle/10665/333222/OEW28-0612072020.pdf,2/8/2023
OEW27-290505072020.pdf,27,2020,27,https://apps.who.int/iris/bitstream/handle/10665/332993/OEW27-290505072020.pdf,2/8/2023
OEW26-2228062020.pdf,26,2020,26,https://apps.who.int/iris/bitstream/handle/10665/332877/OEW26-2228062020.pdf,2/8/2023
OEW25-1521062020.pdf,25,2020,25,https://apps.who.int/iris/bitstream/handle/10665/332594/OEW25-1521062020.pdf,2/8/2023
OEW24-0814062020.pdf,24,2020,24,https://apps.who.int/iris/bitstream/handle/10665/332416/OEW24-0814062020.pdf,2/8/2023
OEW23-0107062020.pdf,23,2020,23,https://apps.who.int/iris/bitstream/handle/10665/332302/OEW23-0107062020.pdf,2/8/2023
OEW22-2531052020.pdf,22,2020,22,https://apps.who.int/iris/bitstream/handle/10665/332246/OEW22-2531052020.pdf,2/8/2023
OEW21-1824052020.pdf,21,2020,21,https://apps.who.int/iris/bitstream/handle/10665/332178/OEW21-1824052020.pdf,2/8/2023
OEW20-1117052020.pdf,20,2020,20,https://apps.who.int/iris/bitstream/handle/10665/332112/OEW20-1117052020.pdf,2/8/2023
OEW19-0410052020.pdf,19,2020,19,https://apps.who.int/iris/bitstream/handle/10665/332067/OEW19-0410052020.pdf,2/8/2023
OEW18-270403052020.pdf,18,2020,18,https://apps.who.int/iris/bitstream/handle/10665/331957/OEW18-270403052020.pdf,2/8/2023
OEW17-2026042020.pdf,17,2020,17,https://apps.who.int/iris/bitstream/handle/10665/331892/OEW17-2026042020.pdf,2/8/2023
OEW16-1319042020.pdf,16,2020,16,https://apps.who.int/iris/bitstream/handle/10665/331806/OEW16-1319042020.pdf,2/8/2023
OEW15-0612042020.pdf,15,2020,15,https://apps.who.int/iris/bitstream/handle/10665/331747/OEW15-0612042020.pdf,2/8/2023
OEW14-300305042020.pdf,14,2020,14,https://apps.who.int/iris/bitstream/handle/10665/331692/OEW14-300305042020.pdf,2/8/2023
OEW13-2329032020.pdf,13,2020,13,https://apps.who.int/iris/bitstream/handle/10665/331619/OEW13-2329032020.pdf,2/8/2023
OEW11-0915032020.pdf,11,2020,11,https://apps.who.int/iris/bitstream/handle/10665/331451/OEW11-0915032020.pdf,2/8/2023
OEW10-0208032020.pdf,10,2020,10,https://apps.who.int/iris/bitstream/handle/10665/331406/OEW10-0208032020.pdf,2/8/2023
OEW09-240201032020.pdf,9,2020,9,https://apps.who.int/iris/bitstream/handle/10665/331284/OEW09-240201032020.pdf,2/8/2023
OEW08-1723022020.pdf,8,2020,8,https://apps.who.int/iris/bitstream/handle/10665/331169/OEW08-1723022020.pdf,2/8/2023
OEW07-1016022020.pdf,7,2020,7,https://apps.who.int/iris/bitstream/handle/10665/331023/OEW07-1016022020.pdf,2/8/2023
OEW06-0309022020.pdf,6,2020,6,https://apps.who.int/iris/bitstream/handle/10665/330862/OEW06-0309022020.pdf,2/8/2023
OEW05-270102022020.pdf,5,2020,5,https://apps.who.int/iris/bitstream/handle/10665/330744/OEW05-270102022020.pdf,2/8/2023
Week_5__23_to_29_January_2023.pdf,5,2023,5,https://apps.who.int/iris/bitstream/handle/10665/365810/OEW05-232901.pdf,2/10/2023
Week_6__30_January_to_5_February_2023.pdf,6,2023,6,https://apps.who.int/iris/bitstream/handle/10665/365964/OEW06-300105022023.pdf,2/13/2023
Week_9__20_to_26__February_2023.pdf,9,2023,9,https://apps.who.int/iris/bitstream/handle/10665/366345/OEW09-2026022023.pdf,3/3/2023
Week_8__12_to_19_February_2023.pdf,8,2023,8,https://apps.who.int/iris/bitstream/handle/10665/366332/OEW08-1319022023.pdf,3/3/2023
Week_7__06_to_12_February_2023.pdf,7,2023,7,https://apps.who.int/iris/bitstream/handle/10665/366273/OEW07-0612022023.pdf,3/3/2023
Week_11__6_to_12_March_2023.pdf,11,2023,11,https://apps.who.int/iris/bitstream/handle/10665/366504/OEW11-0612032023.pdf,3/21/2023
Week_12__13_-_19_March_2023.pdf,12,2023,12,https://apps.who.int/iris/bitstream/handle/10665/366585/OEW12-1319032023.pdf,3/27/2023
Week_13__20_to_26_March_2023.pdf,13,2023,13,https://apps.who.int/iris/bitstream/handle/10665/366719/OEW13_2026032023.pdf,4/17/2023
Week_15__3_-_9_April_2023.pdf,15,2023,15,https://apps.who.int/iris/bitstream/handle/10665/366975/OEW15-0309042023.pdf,4/17/2023
Week_16__10_-_16_April_2023.pdf,16,2023,16,https://apps.who.int/iris/bitstream/handle/10665/367138/OEW16-1016042023.pdf,5/10/2023
Week_17__17-23_April_2023.pdf,17,2023,17,https://apps.who.int/iris/bitstream/handle/10665/367270/OEW17-1723042023.pdf,5/10/2023
Week_18__24-30_April_2023.pdf,18,2023,18,https://apps.who.int/iris/bitstream/handle/10665/367498/OEW18-2430042023.pdf,5/10/2023
Week_19__1_-_7_May_2023.pdf,19,2023,19,https://apps.who.int/iris/bitstream/handle/10665/367814/OEW19-0107052023.pdf,5/18/2023
Week_20__8-14_May_2023.pdf,20,2023,20,https://apps.who.int/iris/bitstream/handle/10665/367952/OEW20-0814052023.pdf,5/29/2023
Week_21__15_-_21_May_2023.pdf,21,2023,21,https://apps.who.int/iris/bitstream/handle/10665/368189/OEW21-1521052023.pdf,5/29/2023
Week_22__22_-_28_May_2023.pdf,22,2023,22,https://apps.who.int/iris/bitstream/handle/10665/368482/OEW22-2228052023.pdf,6/6/2023
Week_24__05_June_-_11_June_2023.pdf,24,2023,24,https://apps.who.int/iris/bitstream/handle/10665/370165/OEW24-050611062023.pdf,7/3/2023
Week_25__12_June_-_18_June_2023.pdf,25,2023,25,https://apps.who.int/iris/bitstream/handle/10665/370166/OEW25-1218062023.pdf,7/3/2023
Week_26__19_-_25_June_2023.pdf,26,2023,26,https://apps.who.int/iris/bitstream/handle/10665/370667/OEW26-1925062023.pdf,7/18/2023
Week_27__03_-_09_July_2023.pdf,27,2023,27,https://apps.who.int/iris/bitstream/handle/10665/370961/OEW27-0309072023.pdf,7/18/2023
Week_28__10_-_16_July_2023.pdf,28,2023,28,https://apps.who.int/iris/bitstream/handle/10665/371502/OEW28-1016072023.pdf,7/27/2023
Week_29__17_-_23_July_2023.pdf,29,2023,29,https://apps.who.int/iris/bitstream/handle/10665/371956/OEW29-1723072023.pdf,8/24/2023
Week_30__24_-_30_July_2023.pdf,30,2023,30,https://apps.who.int/iris/bitstream/handle/10665/372200/OEW30-2430072023.pdf,9/1/2023
Week_33__14_-_20_August_2023.pdf,33,2023,33,https://apps.who.int/iris/bitstream/handle/10665/372631/OEW33-1420082023.pdf,9/1/2023
Week_34__21_-_27_August_2023.pdf,34,2023,34,https://apps.who.int/iris/bitstream/handle/10665/372811/OEW34-2127082023.pdf,9/1/2023
Week_35__28_August_-_3_September_2023.pdf,35,2023,35,https://cbpfgms.github.io/pf-onebi-data/OEW35-270803092023_c.pdf,9/21/2023
Week_36__4_-_10_September_2023.pdf,36,2023,36,https://cbpfgms.github.io/pf-onebi-data/OEW36-0410092023_c.pdf,9/21/2023
Week_37__11_-_17_September_2023.pdf,37,2023,37,https://cbpfgms.github.io/pf-onebi-data/OEW37-1117092023_c.pdf,10/5/2023
Week_38__18_-_24_September_2023.pdf,38,2023,38,https://cbpfgms.github.io/pf-onebi-data/OEW38-24092023_c.pdf,10/20/2023
